gene_id	antibody_id
AR	CAB000001
ACTA2	CAB000002
BCL2	CAB000003
CALD1	CAB000006
CNN1	CAB000007
KRT18	CAB000008
CD1A	CAB000009
CD3E	CAB000010
CD4	CAB000011
CD8A	CAB000012
MME	CAB000013
FUT4	CAB000014
MS4A1	CAB000015
TNFRSF8	CAB000016
CD34	CAB000018
CD79A	CAB000019
CD99	CAB000020
CEACAM5	CAB000021
CEACAM5	CAB000022
CHGA	CAB000023
CCND1	CAB000024
KRT5	CAB000027
KRT7	CAB000028
KRT17	CAB000029
KRT18	CAB000030
KRT19	CAB000031
KRT20	CAB000032
DES	CAB000034
EGFR	CAB000035
MUC1	CAB000036
ESR1	CAB000037
GAST	CAB000038
GFAP	CAB000039
GCG	CAB000040
CGB3	CAB000042
ERBB2	CAB000043
ACTA1	CAB000045
INHA	CAB000047
INS	CAB000048
CD68	CAB000051
PTPRC	CAB000052
LAMB2	CAB000053
LYZ	CAB000055
MLANA	CAB000057
MKI67	CAB000058
MPO	CAB000059
MB	CAB000060
ENO2	CAB000063
CDKN1A	CAB000064
CD68	CAB000066
PGR	CAB000068
KLK3	CAB000070
ACPP	CAB000071
PTH	CAB000072
S100B	CAB000073
SST	CAB000075
SYP	CAB000076
TG	CAB000077
NKX2-1	CAB000078
TYR	CAB000079
VIM	CAB000080
TP63	CAB000083
MYC	CAB000084
MDM2	CAB000086
CDH1	CAB000087
CASP3	CAB000091
CDKN2A	CAB000093
RB1	CAB000095
ENG	CAB000096
FLT4	CAB000099
MCM5	CAB000101
ATM	CAB000102
CALB2	CAB000106
CTNNB1	CAB000108
CTSD	CAB000109
CTSG	CAB000110
CD44	CAB000112
PTGS2	CAB000113
CCNA2	CAB000114
CCNB1	CAB000115
CCND3	CAB000116
CST3	CAB000118
DMD	CAB000119
FSCN1	CAB000121
FGF2	CAB000125
FN1	CAB000126
KRT5	CAB000129
KRT6B	CAB000130
KRT8	CAB000131
KRT10	CAB000132
KRT13	CAB000133
KRT14	CAB000134
KRT16	CAB000136
CDH2	CAB000141
NCAM1	CAB000142
NGFR	CAB000143
EP300	CAB000146
PARP1	CAB000147
PCNA	CAB000148
MAPT	CAB000151
TFRC	CAB000153
VCAM1	CAB000154
XPA	CAB000155
ERCC4	CAB000156
APP	CAB000157
ERBB4	CAB000276
MCM2	CAB000303
BCL6	CAB000307
CCNE1	CAB000308
CD44	CAB000316
TFAP2A	CAB000326
WT1	CAB000327
MAX	CAB000328
E2F1	CAB000329
SP1	CAB000330
MMP9	CAB000348
CDKN2B	CAB000349
CCNG1	CAB000350
IAPP	CAB000352
CYP19A1	CAB000355
FLNA	CAB000356
SNAP25	CAB000360
TGFB1	CAB000361
UBC	CAB000362
CMA1	CAB000363
GZMB	CAB000376
BCAR1	CAB000443
CDKN2A	CAB000445
CTSB	CAB000457
CTSH	CAB000458
CTSL	CAB000459
CTSS	CAB000460
CSTA	CAB000469
TSHR	CAB000473
PLG	CAB000668
HIST3H3	CAB001386
FOXA2	CAB001388
TAGLN	CAB001447
CD59	CAB001448
LY75	CAB001450
FOLH1	CAB001451
SNCG	CAB001452
S100A7	CAB001453
AURKA	CAB001454
USF1	CAB001480
CALR	CAB001513
FBL	CAB001514
CAT	CAB001515
EMD	CAB001545
VWF	CAB001694
COL4A1	CAB001695
KRT8	CAB001696
ADPRH	CAB001701
AQP1	CAB001707
ADAM10	CAB001709
ABCB1	CAB001716
SNRNP70	CAB001718
SMTN	CAB001721
AMACR	CAB001809
ADORA2A	CAB001943
BCL10	CAB001944
BIN1	CAB001945
BRCA1	CAB001946
PRKCE	CAB001948
CASK	CAB001949
CTNNB1	CAB001950
CFTR	CAB001951
RCOR1	CAB001956
DAG1	CAB001960
COL18A1	CAB001961
SLC9A3R1	CAB001962
GABRB2	CAB001964
GRIA1	CAB001965
SAFB	CAB001969
CBX3	CAB001973
HSPB6	CAB001974
KCNAB2	CAB001975
KCNA2	CAB001976
KCNA4	CAB001977
KCNB1	CAB001979
ZBTB33	CAB001980
AKAP6	CAB001983
MAP2	CAB001984
MUC1	CAB001986
NEDD4	CAB001991
ARPC2	CAB001994
NGFR	CAB001995
DLG4	CAB001999
DLG4	CAB002000
RXRB	CAB002003
TLN1	CAB002006
TXNRD2	CAB002007
THRB	CAB002008
THRB	CAB002009
VAV3	CAB002012
SOD2	CAB002013
NOS2	CAB002014
HRAS	CAB002015
EMD	CAB002029
CHEK2	CAB002030
CASP8	CAB002047
BCL3	CAB002051
BCL2L13	CAB002052
CRYAB	CAB002053
HSPA8	CAB002056
HSP90AA1	CAB002058
INA	CAB002059
HSPH1	CAB002060
CALB1	CAB002138
JUP	CAB002139
CSE1L	CAB002140
CTSF	CAB002141
ICAM1	CAB002142
SELE	CAB002143
SELL	CAB002144
SELP	CAB002145
CEACAM1	CAB002146
MCAM	CAB002147
ALCAM	CAB002148
C9	CAB002151
KRT1	CAB002153
KRT4	CAB002154
F13A1	CAB002155
LGALS1	CAB002157
MMP10	CAB002159
MT1A	CAB002161
MCM3	CAB002162
MCM7	CAB002163
MUC6	CAB002165
NOS1	CAB002167
NOS3	CAB002168
NME1-NME2	CAB002169
TFF1	CAB002170
NUP88	CAB002209
FLG	CAB002210
SPP1	CAB002212
PTPN13	CAB002213
COL2A1	CAB002214
TPSD1	CAB002215
MSLN	CAB002216
EVPL	CAB002220
CDX2	CAB002221
CD207	CAB002222
LAT	CAB002223
DAXX	CAB002224
TSC2	CAB002225
SV2A	CAB002226
