ApprovedSymbol	Type	Pair.Evidence	F5.PrimaryCells.Expression_Max	Adipocyte Breast	Adipocyte Omental	Adipocyte Perirenal	Adipocyte Subcutaneous	Alveolar Epithelial	Amniotic Epithelial	Amniotic Membrane	Annulus Pulposus	Astrocyte Cerebellum	Astrocyte Cerebral Cortex	Basophils	Bronchial Epithelial	CD133+ Haematopoietic stem cell	CD14+ Monocyte derived Endothelial progenitor	CD14+ Monocytes	CD14+CD16+ Monocytes	CD14+CD16- Monocytes	CD14-CD16+ Monocytes	CD19+ B cells	CD34+ Haematopoietic stem cell	CD34+ progenitor	CD4+ T cells	CD4+CD25+CD45RA+ naive regulatory T cells	CD4+CD25+CD45RA- memory regulatory T cells	CD4+CD25-CD45RA+ naive conventional T cells	CD4+CD25-CD45RA- memory conventional T cells	CD8+ T cells	Cardiac Myocyte	Chondroblast	Chondrocyte	Chorionic Membrane	Ciliary Epithelial	Corneal Epithelial	Dendritic Monocyte Immature derived	Dendritic Plasmacytoid	ES cells	Endothelial Aortic	Endothelial Artery	Endothelial Lymphatic	Endothelial Microvascular	Endothelial Thoracic	Endothelial Umbilical Vein	Endothelial Vein	Eosinophils	Esophageal Epithelial	Fibroblast Aortic Adventitial	Fibroblast Cardiac	Fibroblast Choroid Plexus	Fibroblast Conjunctival	Fibroblast Dermal	Fibroblast Gingival	Fibroblast Lymphatic	Fibroblast Periodontal Ligament	Fibroblast Pulmonary Artery	Fibroblast Skin Normal	Gingival Epithelial	Granulocyte Macrophage progenitor	Hair Follicle Dermal Papilla	Hair Follicle Outer Root Sheath	Hepatic Sinusoidal Endothelial	Hepatic Stellate	Hepatocyte	Immature Langerhans	Intestinal Epithelial (polarized)	Iris Pigment Epithelial	Keratinocyte Epidermal	Keratinocyte Oral	Keratocytes	Lens Epithelial	Macrophage Monocyte derived	Mallassez derived	Mammary Epithelial	Mast cells	Mast cells stimulated	Mature Adipocyte	Melanocyte	Meningeal	Mesenchymal precursor Adipose	Mesenchymal precursor Bone Marrow	Mesenchymal precursor Cardiac	Mesenchymal stem cell Adipose	Mesenchymal stem cell Amniotic Membrane	Mesenchymal stem cell Bone Marrow	Mesenchymal stem cell Hepatic	Mesenchymal stem cell Umbilical	Mesenchymal stem cell Wharton's Jelly	Mesothelial	Migratory Langerhans	Multipot. Cord Blood Unrestrict. Somatic stem cell	Myoblast	Myotube	NK cells	Nasal Epithelial	Neural stem cell	Neurons	Neutrophils	Nucleus Pulposus	Olfactory Epithelial	Osteoblast	Osteocyte	Pancreatic Stromal	Pericytes	Placental Epithelial	Preadipocyte Breast	Preadipocyte Omental	Preadipocyte Perirenal	Preadipocyte Subcutaneous	Preadipocyte Visceral	Prostate Epithelial	Prostate Stromal	Renal Cortical Epithelial	Renal Epithelial	Renal Glomerular Endothelial	Renal Mesangial	Renal Proximal Tubular Epithelial	Reticulocyte	Retinal Pigment Epithelial	Salivary Acinar	Sebocyte	Sertoli	Skeletal Muscle	Skeletal Muscle Satellite	Small Airway Epithelial	Smooth Muscle Aortic	Smooth Muscle Brachiocephalic	Smooth Muscle Brain Vascular	Smooth Muscle Bronchial	Smooth Muscle Carotid	Smooth Muscle Colonic	Smooth Muscle Coronary Artery	Smooth Muscle Esophageal	Smooth Muscle Internal Thoracic Artery	Smooth Muscle Prostate	Smooth Muscle Pulmonary Artery	Smooth Muscle Subclavian Artery	Smooth Muscle Tracheal	Smooth Muscle Umbilical Artery	Smooth Muscle Umbilical Vein	Smooth Muscle Uterine	Synoviocyte	Tenocyte	Trabecular Meshwork	Tracheal Epithelial	Urothelial
A2M	ligand	literature supported	1515.49	90.27	121.42	50.6	63.4	0	0	0.82	0	1.36	8.82	0.13	0	0	144.36	0.18	0.14	0.05	0.13	0	1.32	0.28	0	0	0	0	0	0	17.16	4.2	28.52	30.71	1.47	0	622.5	0.97	0.04	0.85	7.32	112.86	22.92	4.53	6.2	0.94	0	0.44	5.7	10.46	7.5	0.23	1.31	0.46	0	1.17	0.34	23.18	0.06	0	9.59	69.23	36.61	1.23	1515.49	9.84	9.59	0.17	0.03	0	0	0.66	208.3	0	2.49	1.18	0	85.88	423.67	2.8	3.79	4.24	2.29	42.79	64.54	1.12	5.06	0	0.13	91.83	100.28	0	1.24	29.74	0.07	0.31	96.42	22.75	0	1.21	2.8	0.85	16.61	6.34	1.74	0.1	17.95	20.35	7.42	3.17	0.62	0.14	13.5	0	0	47.41	0.25	0	0.13	0.19	2.55	0	35.35	5.35	4.98	0.13	0.17	0.09	3.69	22.46	0.16	10.15	0.67	0.98	0.12	6.74	2.26	0.15	37.6	2.32	0.14	3.19	2.21	5.27	0	0.22	0
AANAT	ligand	literature supported	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE	ligand	literature supported	146.05	0.97	1.62	0	2.31	0	0.13	0.82	0.76	0.88	0.05	0.78	0	0.29	45.08	0.35	1.13	0.12	1.82	0	0.53	7.51	2.93	0.16	0.12	0.02	2.47	1.94	11.85	0.43	0.24	2.37	0.27	0	146.05	0.2	0.76	18.32	25.69	31.21	21.53	28.38	36.6	33.79	0	0	2.67	9.12	23.21	1.41	1.93	5.62	9.05	2.93	1.36	4.45	0	0	10.84	0.36	34.51	6.47	2.1	0.56	0.98	0.17	0	0.19	1.17	0.04	60.6	0	0.03	0.5	0	7.32	0.02	4.84	6.9	7.06	7.32	49.56	1.72	1.17	0.6	0.63	0	0.23	0.11	0	1.73	2.85	1.08	0	0.13	0.11	0	1.22	4.75	0.89	1.68	2.69	3.36	0	1.45	1.71	1.48	2.67	4.57	0.36	2.15	0.12	0	75.37	0.39	1.27	0	0.11	0.68	0	0	3.59	5.7	0.13	0.54	0.09	1.79	4.02	8.43	1.29	1.54	0.98	0.85	0.89	18.08	0.51	4.65	0.61	0.34	1.42	28.08	17.08	1.63	0.45	0.11
ADAM10	ligand	literature supported	161.87	62.89	49.4	76.77	14.52	8.73	36.32	83.7	53.14	10.75	33.13	58.02	19.06	32	123.72	74.93	80.49	124.34	109	20.06	34.77	29.21	14.06	18.65	20.68	15.61	18.07	20.55	93.41	56.27	54.19	83.56	37.71	6.8	49.8	42.45	21.19	36.93	41.73	95.67	47.42	58	91.62	51.09	136.74	6.11	59.92	77.86	44.7	10.08	46.95	62.44	16.29	62.8	117.06	56.54	64.02	89.42	37.19	62.49	22.59	23.96	24.3	20.55	42.06	50.1	27.57	33.7	7.52	68.99	158.12	45.3	42.45	40.4	110.85	16.43	54.83	32.62	55.34	51.62	76.31	28.73	70.56	13.21	57.4	18.55	81.44	59.56	7.52	43.18	69.49	34.72	26.5	22.83	45.06	21.84	161.87	55.5	41.08	36.36	34.77	104.61	11.29	29.81	82.13	88.2	44.53	47.24	56.94	31.38	56.24	24.55	26.98	39.61	22.18	21.64	7.48	12.91	39.04	11.96	147.83	35.97	51.49	47.77	32.58	41.96	84.07	41.59	41.42	69.29	25.55	11.7	48.75	71.77	37.29	41.28	44.52	21.39	62.8	46.83	101.3	59.37	13.42	18.7	21.56
ADAM12	ligand	literature supported	371.27	44.99	40.71	28.79	45.82	0.84	0.11	16.99	40.21	80.47	33.98	0.1	0.22	0	0.11	0.44	0	0	0.06	0	0	0.28	0.47	0	1.19	0	1.07	0.44	1.81	47.44	126.85	216.85	21.73	0.19	2.47	0	0.57	1.43	0.09	0.44	0.55	1.22	0	0.32	0.66	0	42.04	13.72	274.38	2.34	8.36	9.47	37.8	14.36	4.54	68.12	0.32	0	19.22	2.37	1.07	16.73	0	10.83	0	36.54	0	0	0.68	18.37	0.18	0.27	0.25	33.7	236.48	27.2	3.64	51.77	247.74	99.31	129.92	26.54	101.7	9.41	2.36	5.4	371.27	18.43	103.85	116.42	56.37	151.44	2.09	1.24	24.53	5.47	0.14	21.17	65.88	109.76	22.41	18.16	109.26	1.01	48.39	86.84	4.45	87.49	44.98	0	69.7	1.26	2.24	0.76	3.25	0.84	0	0.54	0.83	2.95	19.28	34.84	32.91	0.47	23.63	24.94	40.42	6.32	20.73	56.15	30.17	1.46	33.76	16.66	21.47	11.42	10.57	45.76	4.86	9.93	33.21	109.14	4.64	0.51	0.33
ADAM15	ligand	literature supported	484.78	30.61	41.01	75.02	72.57	319.47	89.73	80.1	102.56	60.28	23.29	35.97	352.47	39.34	32.05	56.33	52.83	69.06	20.03	6.6	37.14	14.1	11.11	14.25	25.62	13.56	10.38	7.94	58.24	88.19	49.98	52.16	36.37	325.1	224.85	5.25	10.65	289.96	319.09	228.48	425.49	279.66	154.97	307.17	16.36	348	50.99	76.48	28.07	60.69	57.64	53.29	107.96	41.25	100.61	35.83	120.33	65.15	47.47	49.54	484.78	66.89	26.21	37.22	23.49	50.78	231.27	140.18	75.92	42.74	63.8	80.78	152.2	6	1.97	44.14	82.79	36.93	33.19	63.49	48.24	141.77	31.1	112.14	36.88	53.92	37.36	115.7	9.68	51.1	60.11	24.84	16.62	171.42	14.91	15.68	12.85	68.84	56.16	38.28	98.13	29.28	55.86	158.49	31.9	32.28	120.22	29.42	32.33	104.02	42.51	104.25	173.48	419.03	111.01	104.11	18.95	115.59	118.28	94.71	69.09	48.64	33.67	193.23	96.66	68.29	49.95	77.3	81.23	37.21	100.59	79.97	135.61	37.1	98.32	93.24	75.57	92.11	40.92	64.21	115.8	83.7	79.83	293.08	179.21
ADAM17	ligand	literature supported	419.75	32.41	25.53	18.32	12.25	8.2	12.46	22.97	20.53	8.75	33.11	52.59	13.64	15.56	40.48	108.75	26.26	32.2	29.81	36.15	17.91	55.12	15.31	8.41	11.01	8.02	12.59	20.87	22.46	13.56	19.94	29	32.89	7.88	41.09	25.92	13.1	23.44	20.93	39.8	16.56	15.19	23.31	13.31	133.52	4.36	22.49	27.49	27.56	14.29	15.51	24.54	4.98	18.07	14.75	18.35	36.17	51.1	13.28	21.23	15.28	10.94	16.42	54.19	22.01	33.63	18.04	29.54	7.59	31.52	31.12	33.47	21.15	20.66	419.75	26.07	11.49	17.74	20.67	20.69	30.47	9.74	19.14	4.03	24.2	8.71	17.84	44.15	26.26	13.63	26.43	32.05	24.21	41.9	46.81	17.24	84.8	21.7	15.48	18.26	22.29	17.46	5.24	10.04	24.85	26.73	23.75	12.97	12.21	32.26	15.41	24.7	12.66	8.47	5.51	15.05	12.33	23.7	22.13	32.01	22.5	24.71	20.44	42.43	15.18	22.56	26.33	17.2	10.67	24.2	9.8	4.88	16.37	14.51	6.78	16.4	8.37	11.2	26.06	13.13	19.31	13.41	10.43	12.81	13.58
ADAM2	ligand	literature supported	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM23	ligand	literature supported	43.95	2.99	4.08	6.11	5.9	2.46	0	0	1.98	4.04	7.22	0.05	0	0	0	0.64	0	0	0	2.26	0	0	2.52	0	0.38	0.76	0.59	0.42	3.28	1.65	2.72	2.84	6.15	0.18	3.07	0	27.13	12.62	21.92	12.94	1.75	12.84	10.42	14.85	0	0.87	11.97	8.99	4.35	1.87	4.82	1.97	1.99	3.18	6.01	2.05	0	0	0.89	2.71	7.46	4.06	0.59	0	15.37	21.1	1.09	1.39	6.86	23.43	0.05	1.41	6.96	0.1	0.49	0.22	24.02	4.21	2.88	2.66	5.66	6.29	7.74	1.44	3.96	1.07	43.95	5.89	0.12	8.45	13.44	8.64	0.81	0.62	20.53	14.73	0	1.28	0.94	4.13	13.07	1.56	1.18	0.1	1.55	4.11	1.48	5.12	2.6	9.31	6.59	1.07	0.32	2.89	3.02	0.17	0	9.9	3.54	2.77	1.61	3.9	6.9	0.38	9.09	13.8	8.89	4.1	6.64	9.81	8.95	5.36	17.39	18.5	21.47	8.48	16.96	21.95	15.52	6.39	7	3.71	8.88	0.03	1.74
ADAM28	ligand	literature supported	202.35	0.11	0.15	0	0	0.12	0	0.18	0	0	0	18.24	2	28.77	32.67	25.3	2.95	11.51	1.22	202.35	21.33	58.12	0.59	0.2	0.39	0.2	0.13	0.86	0.45	0	0	2.03	1.07	0.37	0.13	8.23	0.63	0.05	0	0.24	0.16	0.41	0	0	26.94	0.44	0.35	0.42	0.67	0	0	0	0	0	0.23	0	2.71	62.6	0	0	0	0	1.47	97.57	0.98	0.69	0	0.09	0	0.27	23.53	24.01	0	0.07	0.49	0.41	0	0	0	0	0	0.11	0	0	0	0	0	0.13	52.48	0	0	0	5.8	0.38	0	0.44	27.87	0	0	0	0	0	0	0	0.53	0	0	0	0	5.64	0	0	0.04	0	0	0	2.01	1.09	0.07	0.29	0	0	0	2.92	0	0.93	0	0	0	0	0.28	0	0.12	0	0	2.71	0	0.32	0	0	0	0	0	1.92	3.14
