Species,Tissue,Cell Type,Cancer,Cell Marker,Source,Supported Sources,Details,gene symbol,title,PMID,journal,reference paper type
Human,Peripheral blood,Cancer cell,Melanoma,"MITF, MLANA, PMEL, TYR",Single-cell sequencing,1,more details,"MITF, MLANA, PMEL, TYR",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,B cell,Normal,"BLNK, CD19, CD79A, CD79B, MS4A1",Single-cell sequencing,1,more details,"BLNK, CD19, CD79A, CD79B, MS4A1",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,B cell,Normal,"CD37, CD79A",Single-cell sequencing,1,more details,"CD37, CD79A",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,CD14+CD16+ monocyte,Normal,"CD14, CD16, CD68, S100A12",Single-cell sequencing,1,more details,"CD14, [FCGR3A, FCGR3B], CD68, S100A12",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,CD4+ memory T cell,Normal,"CCR7, CD27, IL7R",Single-cell sequencing,1,more details,"CCR7, CD27, IL7R",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,CD4+ T cell,Normal,"CD4, CTLA4, FOXP3, IL2RA",Single-cell sequencing,1,more details,"CD4, CTLA4, FOXP3, IL2RA",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,CD8+ T cell,Normal,"CD4, CD8A, CD8B",Single-cell sequencing,1,more details,"CD4, CD8A, CD8B",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,CD8+ T cell,Normal,"CD8A, CD8B, GZMK",Single-cell sequencing,1,more details,"CD8A, CD8B, GZMK",dropClust: efficient clustering of ultra-large scRNA-seq data.,29361178,Nucleic Acids Res,Single-cell sequencing
Human,Peripheral blood,Dendritic cell,Normal,"CLEC4C, IL3RA, NRP1",Single-cell sequencing,1,more details,"CLEC4C, IL3RA, NRP1",Estimation of immune cell content in tumour tissue using single-cell RNA-seq data.,29230012,Nat Commun,Single-cell sequencing
Human,Peripheral blood,Effector CD8+ memory T (Tem) cell,Normal,"ADAM8, ADGRG1, ADRB2, AGTPBP1, AHNAK, ARHGAP25, ARL4C, BIN2, C12orf75, C1orf21, CAPN2, CASP8, CD300A, CEP78, CX3CR1, DSTN, EFHD2, EMP3, FCGR3A, FCGR3B, FCRL6, FGFBP2, FGR, FLNA, FUT11, GAB3, GK5, GLUL, GNLY, GZMB, GZMH, ITGAM, KCNAB2, KLRD1, KLRF1, LGALS1, LILRB1, LITAF, LLGL2, LPCAT1, LUZP6, MBP, MTSS1, MYO1F, MYO1G, OSBPL5, PATL2, PIK3R5, PLEK, PLEKHG3, PRKCB, PRSS23, PXN, RAP1B, RAP1GAP2, RAP2B, RASSF1, RGS19, RNF166, S1PR5, SAMD3, SH3BP5, SH3BP5-AS1, SLC2A1, SLC9A3R1, SLCO4C1, SPON2, SRPK2, STK10, SYNE1, TAGLN2, TBX21, TGFBR3, TM4SF19, TM4SF19-TCTEX1D2, TPST2, TTC16, TTC38, USP28, VCL, VEZF1, WDR37, ZEB2, ZEB2-AS1, ZNF600",Single-cell sequencing,1,more details,"ADAM8, ADGRG1, ADRB2, AGTPBP1, AHNAK, ARHGAP25, ARL4C, BIN2, C12orf75, C1orf21, CAPN2, CASP8, CD300A, CEP78, CX3CR1, DSTN, EFHD2, EMP3, FCGR3A, FCGR3B, FCRL6, FGFBP2, FGR, FLNA, FUT11, GAB3, GK5, GLUL, GNLY, GZMB, GZMH, ITGAM, KCNAB2, KLRD1, KLRF1, LGALS1, LILRB1, LITAF, LLGL2, LPCAT1, LUZP6, MBP, MTSS1, MYO1F, MYO1G, OSBPL5, PATL2, PIK3R5, PLEK, PLEKHG3, PRKCB, PRSS23, PXN, RAP1B, RAP1GAP2, RAP2B, RASSF1, RGS19, RNF166, S1PR5, SAMD3, SH3BP5, NA, SLC2A1, SLC9A3R1, SLCO4C1, SPON2, SRPK2, STK10, SYNE1, TAGLN2, TBX21, TGFBR3, TM4SF19, NA, TPST2, TTC16, TTC38, USP28, VCL, VEZF1, WDR37, ZEB2, NA, ZNF600",Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing.,28622514,Cell,Single-cell sequencing
